comment	rate
I got this because I admire Matthew Mcconaughey. He is a deep thinker and has American Values.  I enjoyed reading about this life; although most the book is more about his message "Green Lights"; giving you the OK to be happy and accept bad as well because good comes out of bad sometimes. I just didn't like how the book was put together. He had copies of his journal and writing on many pages and they were difficult to read. The color was awful and pretty much unreadable.  I think I would like his autobiography better, but this was ok. Not a keeper though for my library.	3.0 out of 5 stars
Overall, it was a well-written book...little out there, yet thought provoking. The actual pictures of his journal entries were illegible (not sure why they were included). VERY DEEP...and at times, not an easy read.	3.0 out of 5 stars
This book is a must read! I just love everything about it! It’s inspirational, it’s educational, it’s entertaining and a page turner! Another reviewer mentioned how the cover to the book doesn’t cover the book from top to bottom. I think it adds style to the look of the book. Honestly, if bothers you remove it. The feel of the book is like no other book! I love it!! It’s has such a soft feel to it like satin rubber lol if that makes sense! To me that adds comfort while reading!! So to any viewer reading the reviews. I did the same. Every viewer love the book! I know it was a must read! Go for it and buy it :)	5.0 out of 5 stars
Love the book... I can hear Matthew McConaughey telling me his story.  It's easy reading.  It will life your spirits.	5.0 out of 5 stars
I saw this book while shopping and was intrigued. Since I'm from Austin I'd been around when he danced naked with congas and did Dazed and Confused.  I heard all the stories but now I wanted to know how this man became the person he is today. I never imagined his journey,  tenacity,  appreciation and sense of discovery. Thoroughly enjoyed this read and the family pictures, bumperstickers, diary, and the fact we are all livin...	4.0 out of 5 stars
I understand that the author was trying to convey an uplifting message of life's ups and downs.  I just couldn't relate to his methods and point of view.  Other people will get a lot of good advice from this book.  It simply wasn't for me.	3.0 out of 5 stars
I could not out this book down. What a great storyteller, with raw, honest emotions. I highly recommend this book for anyone who is searching for God and the meaning of life.  Not only a great entertainer, but a deep person with real emotions.	5.0 out of 5 stars
A great and enjoyable read, teaches you about Matthew but also teaches you about being yourself and having trust in yourself!	5.0 out of 5 stars
I loved this book. I purchased 2 books, one to gift. I couldn’t stop reading and finished it in a day. It’s unapologetically raw, candid and honest all of which I admire. I found it inspirational and left me with a lot to think about. I’ve always been a fan of the actor but now I’m also a fan of the author. As for the short cover, it encouraged me to look underneath which revealed the art on the hard cover. Especially loved the note on the back. Both books arrived in perfect condition.	5.0 out of 5 stars
I really enjoyed reading this book. I was very surprised at some of the things I learned about Matthew. Some of the things I learned, I expected. He's a very interesting man, and down to earth. Some truths in life, he holds dear,  as I do also!	5.0 out of 5 stars
Worth the wait. Preordered and I’ve been biting my nails waiting for it ever since. Finished in 3 days (fast for me lol). Ups and downs, all arounds. A great read of someone’s journey with tidbits, advice and ideas to help guide anyone looking for a glimpse into another man’s perspective on living. Just keep livin.	5.0 out of 5 stars
Matthew McConauhey has had a fabulous fifty years I’d say with out a doubt	5.0 out of 5 stars
Storytelling at its best. The moments McConaughey shares are both enjoyable and impactful. I could not put this book down and would recommend it for its humor, insightfulness, and careful consideration of past, present, and future.	5.0 out of 5 stars
Well written, enjoyable read. McConaughey is a very interesting soul.	5.0 out of 5 stars
Good book.  Matthew mixes personal stories, success and failure, with his thoughts, writings and poems. It’s a little American success story, a little wanderlust and a little Texas spirit all mixed together.	5.0 out of 5 stars
Best book I’ve read in years... I love that he isn’t full of himself like other actors, he’s very real and caring... he’s the only actor I’d pay to watch his movies anymore... he’s a cut above the rest....	5.0 out of 5 stars
I couldn't help feeling as if he was sitting across from me, talking to my face, laughing with him and trying to listen intently as not to miss out on any of the colorful juicy details.  I admire Mr. McConaughey's  lifelong fortitude to aspire to all that he can be in a world that can pull you down and bury your soul with little regard for struggles. Planning to gift a few of these books this Christmas.	5.0 out of 5 stars
I received this book today and it has some glue-like substance on both the front and back. A full jacket would have prevented this and probably proper packaging (it was tossed inside a large box to bounce about freely on its journey to me). I’m looking forward to reading it, but :woman_facepalming_selector:	4.0 out of 5 stars
GREAT BOOK.	5.0 out of 5 stars
This was a great read, McConaughey is a fantastic writer.  "Life is a verb" and there is no real arrival. His no real arrival attitude helps him enjoy life to the fullest.	5.0 out of 5 stars
An interesting look at what we may or can become and stay true to ourselves.  Some "out there thinking" that must be read several times to absorb, reflect upon and "green lighter."	5.0 out of 5 stars
Have long admired MM's acting in the rebranded phase of  his  career . I did not  know  the  hard  work  of his search for  self, purpose ,  and  a genuine meaningful  life. He took  a  risk writing  this .  The results  are  inspiring .	5.0 out of 5 stars
First off, the writings, thoughts, and truth bared to all about his life lessons was phenomenal!!	5.0 out of 5 stars
I started this book this mid morning, took time to hit golf balls and then came home to read some more.  I finished this evening and truly enjoyed the book.  What struck me, was page 103 in the Kindle.  “We are not born of equal situations, but we should be given equal opportunities!”  I paraphrased.  I am a fan of Matthew McConaughey!	5.0 out of 5 stars
I now might know more about one of my favorite actors than I wanted to but I thoroughly enjoyed this book. Mr. McConaughey has certainly led a crazy and active life.  He also has an honest and unique way of writing. I hope to apply some of his Greenlight philosophy to my own life. I wish all the best to him and his family.	5.0 out of 5 stars
Loved this book. Finished in a day! It was fun to "get to know" Matthew McConaughey. He is really funny. Sometimes he can be a little preachy/self indulgent, but I didn't let that get to me at all. I just really liked his style and learning more about him. Plus some really approachable and applicable life lessons.	5.0 out of 5 stars
Fantastic! Read it in a day.	5.0 out of 5 stars
I loved the story.  The notes had some incredible insights, but some were just scribblings and got tiring after a while.  Those good have been left out.	4.0 out of 5 stars
What a wonderful, entertaining read! I can’t wait for it to come out on CD so that I can hear it in Mr. McConaughey’s voice. It’s an unconventional story, unconventionally told and I enjoyed every bit. I only wish that there had been a little more about the making of Amistad because that’s my favorite.	5.0 out of 5 stars
Book was pretty good, kind of short. Got an insight into his "start" and type of person he is.	4.0 out of 5 stars
Greenlights is very well written by author Matthew McConaughey. The book  gives the reader an inside look at this mans life growing up. Reading his story normalizes the everyday lives that we live each day of our lives and gives insight to how he managed the great, good and bad days of his life.	5.0 out of 5 stars
So disappointed the cover (jacket) of this book is clearly the wrong size. It is too small and does not protect the hard covered book.Where is the quality control?	1.0 out of 5 stars
Book reads like Matthew is right there sharing his life experiences with you. He learned life lessons that may help you.	1.0 out of 5 stars
This book has left me with quite a lot to think about. It is entertaining and inspiring. And beautifully written..	5.0 out of 5 stars
I really enjoyed this conversation because i understood it. Thanks for the  new memories and the shacking out some spider webs. A call to Wake Up!!	5.0 out of 5 stars
Needed a book for a trip to Maui. Something to read on the plane and maybe chill on the patio with	5.0 out of 5 stars
This is a very good book. Makes you feel like you are having a conversation with a good friend. Learned a lot about Matthew and his past.	5.0 out of 5 stars
The book is everything I heve been reading and hearing about. It makes you look for your own greenlights in your life. I recomend it to everyone.	5.0 out of 5 stars
I begin reading this book thinking it would be your normal Hollywood tell all.Then I nothing could be further from the truth Matthew mcconaughey is a soulful deep thinking person with an incredible gift for putting his thoughts on paper	5.0 out of 5 stars
this book is probably one of the best autobiography type books I have EVER read.  Matthew M. does an amazing job telling his story.  He is inspirational, funny and makes you feel like he is sitting by you just chatting.  If you haven't bought it yet, do yourself a favor and put it in your cart.	5.0 out of 5 stars
Very honest and forthright view of finding your path through life's journeys . How to be fully aware of your soul and progress through many steps of course correcting by understand yourself and your talents , skills and intentions in living a happier, satisfying life. Kudos for Matthew in enriching the journey.	5.0 out of 5 stars
I always loved the way he carries himself and in this book so telling of himself and how he viewed life I can see how he made it. Never perfect but seeking to be a better version of himself, for himself and his family. I loved it!	5.0 out of 5 stars
While reading this memoir of Matthew's life, his family, his innermost thoughts and his wise decisions, you see different side of this man, his creativity, his emotions, and his closeness to his God.  What a wonderful read this was, what a wonderful man. Couldn't put the book down.	5.0 out of 5 stars
I loved this book! I finished it in 2 days. His story telling is so amazing. It is almost like you are there with him on the adventure.  I always loved him as an actor but I also have much respect for him as well.  He has inspired me.	5.0 out of 5 stars
This book is such a good read. It’s an easy read but so worth it. It will shock you, it will make you laugh but most importantly it will make you think man this man an amazing outlook on life despite everything. His “green lights” really is about how we choose to look at situation and make our moves in accordance with positive steps to open doors for just about everything in life.	5.0 out of 5 stars
Normally I would not read a Hollywood actor’s prose. Why? Most are disconnected and lost is supposed wealth that exists only in bank accounts.  Here Matthew McConaughey writes from his heart without fear of judgement or persecution.  It , makes it a relatable non-fiction.  And we all love what we can relate to.  I found this book to be very very good.  Highly recommend this across a broad spectrum. From classic, self help, to auto biography.  Superb.	5.0 out of 5 stars
I hate giving book reviews.  I enjoyed reading parts of this book.  Sometimes I just wanted to say "meh".  I am glad I read it, not sure I have many takeways.  I usually hope for one or two.  Perhaps too much hype about the book.  I do love the actor and her is a decent story teller.	3.0 out of 5 stars
I read this book front to back in 6 hours. I couldn’t put it down. It’s worth the read. The first pages are intense.	5.0 out of 5 stars
Bravo Matthew McConaughey - a memoir that does not self-serve or laud “the business”, but offers us the truth of values ingrained by loving parents, accepts experience as part of life’s journey to Self, and shares the “person” of who he really is. A beautiful read.	5.0 out of 5 stars
Matthew did a wonderful job story telling. This book was so enjoyable and fun. Especially loved his stories about his family and his youth. His student exchange program tales had me laughing so hard my sides hurt.	5.0 out of 5 stars
Alright, alright, alright...this book is as entertaining as the actor. Lighthearted while poignant, specific yet approximate, the story we need now to obfuscate the negative pall. Enjoy the vignettes and relate to the diary...my only question is after spilling your family guts--why be coy about a nebulous "family emergency" near the end of the story? To employ that term only invites the reader to demand: what emergency? Should have skipped over that or described it differently. Regardless: a lovely read, inciteful, bongo pounding fun!	5.0 out of 5 stars
Highly recommend this book. This moved past mediated schlock, and let you see the author, warts and all. The storytelling is authentic. There’s more to his story, and I’m glad the veil was pulled back.	5.0 out of 5 stars
This book was amazingly beautiful. I couldn't stop reading it, I always love Matthew McConaughey I've seen all his movies and now he surprised us with a book about his life, its awesome!!!	5.0 out of 5 stars
The book arrived in great condition, now issues there. However, the cover was printed upside down from the rest of the book...	4.0 out of 5 stars
I’ve just started reading this book. So, my comments are not related to content. The style of writing is what I expected - so far.	3.0 out of 5 stars
One of my all time favorite books! Matthew is a phenomenal story teller and gives a good take on life. Highly recommend!	5.0 out of 5 stars
I bought this for my Sister. She is a very busy person. She has a hard time putting it down.	5.0 out of 5 stars
I liked the stories and borrowed some lessons from MC but the only reason I gave it 4 stars and not 5 is that the book slows down toward the end.  Good book overall.  Would recommend.	4.0 out of 5 stars
The most life changing book you will read. I read 150 pages in one day. Completely mesmerized, I felt like he was there with me while I was reading. I laughed, cried, and related with him down the the deepest levels. For some one who doesn’t like to read and finds it boring at times,  this book is really for a experienced reader or beginner. Inspiring you with every line at every level.	5.0 out of 5 stars
It’s a peak into a fine actors really human life. It will make you regret not keeping a journal.	5.0 out of 5 stars
I have enjoyed watching Matthew McConaughey's movies, but reading his book opened my eyes to him as a person.  I didn't want to stop reading, couldn't put the book down.  I found his journey inspiring.  I highly recommend this book.	5.0 out of 5 stars
Easy read, fun to hear stories from a thoughtful and entertaining guy. Good reminder to enjoy life and be the protagonist in your own story.	4.0 out of 5 stars
This book is so "real". The stories are heart felt, entertaining and downright funny. It's made me appreciate all the things that have happened in my life - the good and the bad. Red and yellow lights do turn green eventually!	5.0 out of 5 stars
I had my utmost respect for Metthew since forever, and even before his Mcconaissance era in Hollywood. And if you also did feel that way for this guy, or even if you have no clue who he is, please delve into his journey. It's just a thrill ride and it will make you realize why his approach to life should be the GO to for anyone really. He certainly opened my eyes by seeing the world and life through his. In his own words... A Love Letter to Life.	5.0 out of 5 stars
I bought two of these books for Christmas gifts.  I hope they will be appreciated.  I think they will be.	5.0 out of 5 stars
I loved the book..hated that at the end he had to mention George Floyd and the hate group black lives matter. Why Matthew?It wasn't necessary. Just tell your story!	4.0 out of 5 stars
Stories in this book were fascinating and easy and fun to read. Enjoyed the pace of mov this book and his writing style. Learning intimate details of his life will bring up intimate emotions of your own.	5.0 out of 5 stars
As other have posted, mine was delivered with a torn cover.  I'd love a replacement but do not see how to request one without returning the book	3.0 out of 5 stars
I’m just loving this book.  Matthew is hilarious...great life stories and inspiration to boot!  I read quite a bit and this book is a breath of fresh air.  Thank you, Matthew, for sharing your depth, humor, insight and sense of community with the world.  I’m ordering this book for all the men in my family, young and old.  They’ll have resounding chuckles with a life lesson or two mixed in.	5.0 out of 5 stars
One of the best biographies I have read, M.M.  Does a great job of living an examined and thoughtful life and sharing it here.	5.0 out of 5 stars
I’ve always liked him and thought it would be fun to spend an evening with him. After reading this book I admire him. He has a wonderful philosophy, lived an interesting life and has found his true calling.	5.0 out of 5 stars
I enjoyed this book . It did not rock my world .	4.0 out of 5 stars
I was not sure I would “get into this book.”  But the title alone got me thinking and I had to keep reading to learn the paths from red lights, to yellow lights to finally, green lights. Read it and make notes of the green lights in your life.	5.0 out of 5 stars
I’m not quite sure how I feel about this memoir. I definitely admire Matthew but am somewhat confused about the way he was raised and the differences that were expected of him. He sounds like a wonderful husband and father.	4.0 out of 5 stars
I got this book because Matthew McConaughey always intrigued me. He’s a free spirit! I’m in awe at this book and couldn’t put it down! It’s full of amazing insights and life lessons. It’s not just his life, it’s inspirational! It’s captivating! It’s made me grow! So well written and so open! I want this man as a friend and mentor now! Brilliant work of art!!	5.0 out of 5 stars
I went in reading this book with little expectation.  I'm a fan, so I figured there would be some funny stories about his career and such.  I read the book start to finish in one night.  Could not put it down.  One of the best, motivational, uplifting views I've read in such a long time.  I was enamored with who candid and poetic he is.  It was one of the best things to come out of 2020!  Do yourself a favor, carve 4 hours out of your day, grab a coffee, a blanket and enjoy the words.  You won't be disappointed.	5.0 out of 5 stars
I think it's not just about Matthew and what he says but also a book about how he managed to not just be a Rom Com man but eventually make a transition to movies that have real characters.	5.0 out of 5 stars
I like to keep the paper jacket on my hard bound books and after 2 months of waiting, received this book with a shortened jacket.  A bit disappointed, yet the contents of the book is what counts the most.  Eager to read this.	4.0 out of 5 stars
Very interesting read. Sprinkled with MM's poetry and philosophy. Written with humor and style. There is lots to think about here about pivoting when life challenges you, especially true in 2020. This is a short read and totally engaging.	5.0 out of 5 stars
This book is a raw look into the life of a real in-touch guy.  It’s shocking reality.  It’s poignant poetry.  I loved it so much, I want to read it again and again - you will too.  peace and love	5.0 out of 5 stars
The true value of this book is not what you’ll learn about Matthew McConaughey, it’s what you’ll learn from his stories about HOW to live a life just a rich.	5.0 out of 5 stars
I loved this book and so glad I listened to it on Audible!	5.0 out of 5 stars
Simple, clear, heartfelt and delivers on the promise of laughs, tears and some thoughts to try on yourself. Honest and light, one of my favourite books by one of my now favorite people, alright!	5.0 out of 5 stars
One of the best books I've read! Read it in 3 days. Definitely recommend the hardback.  Very inspiring and has a natural flow.  Full of many nuggets of wisdom and can be found at every turn of the page.  I was interested in the book after watching McConauchey's speech at UT.  delivers powerful messages!!!  Must read!  j.k. livin	5.0 out of 5 stars
Got the audible download so I could listen to Matthew read it & it does not disappoint! Also bought the hardback because there are pictures I want to see. The story about going to Palm Springs with his brother in Part 5 is hysterical!	5.0 out of 5 stars
I have admired his movies for years and am so glad to learn more about the real man behind the characters he plays.  He pleasantly surprised me with his deep thoughts, humor and reflections of life.  Great insight into his life this fair.	5.0 out of 5 stars
Reading this book was a " Greenlight"	5.0 out of 5 stars
Matthew McConaughey's book is a good read! He is, by accounts in the book, a down to earth person in spite of his incredible success as an actor. I would recommend this book to anyone!	5.0 out of 5 stars
. funny, thought provoking and enjoyable .. encouraging to see philosophy find its way in lives of people from all walks. So it’s up to us to cultivate in our own life	4.0 out of 5 stars
An enjoyable read from beginning  to end.  Matthew has led an exciting life, but also fulfilling.  The travels he has,been on are detailed so that you can feel as though you were there. I enjoyed each trip he went on!!!  He's lived a great life but doesn't boast upon it... he relishes every moment.  A light, fun read!	4.0 out of 5 stars
I really liked the book. I could honestly hear him narrating it!  One weird thing... the cover did not fit. It was too short... trying to find the “green light” in this...	5.0 out of 5 stars
Truly funny in some parts, and offers a lot of food for thought in other parts. I've been a fan of Matthew's for years, but after reading this, I feel like I know him personally. Truly enjoyed reading this and will probably read it again just to see what I missed the first time.	5.0 out of 5 stars
I am a huge fan of Matthew and this book was a great read!  Such a great insight to him and how he is the man he is today!  I loved it!	5.0 out of 5 stars
Treat yourself !  All I can say is wow!	5.0 out of 5 stars
Heard an interview about this book and figured id give it a try. Just took a break from reading it since the minute the delivery guy dropped it off after several hours to send a link to some of my friends to read/buy it. I've dog-eared several pages to come back to and re-read. Excited to finish it today.	5.0 out of 5 stars
TOO MUCH OF A BIG EGO	2.0 out of 5 stars
Cannot put this book down. Definitely recommend!	5.0 out of 5 stars
What a great inspiration. Written as if Mathew himself is sitting beside you telling his stories. It’s not often a biography can have you looking at your own life with such clarity. It reminds you of who you are, what you value, and the value you should see in yourself. His book is a story, journal, inspiration and a reminder that your story begins with YOU.	5.0 out of 5 stars
As I have never cared for movie stars I don't know why I read this. I don't watch movies. Nevertheless, it was rather interesting to follow his decision-making.	3.0 out of 5 stars
I did not understand why the cover was too small. It took away from the aesthetic of the book. It was odd. Is this a packaging issue or how the cover is. It looked as if someone copied the cover and placed it on this book.	3.0 out of 5 stars
this is literally the first “modern” autobiography of sorts that I actually enjoyed.  Not a memoir of “how awesome I am” or an apology of “how awful I was”.  Rather, this is a great read about a man who learned to know and love himself and the world which surrounds him.	5.0 out of 5 stars
Such an inspirational read.  You live life by your rules which is what has made you such a success in love, life and career.  Thanks for sharing this with us.	5.0 out of 5 stars
Love how Matthew writes...I sped through this laughing at times and others crying.  Great read	5.0 out of 5 stars
Too much like a self help book.  Many of the events recounted were moving, either humourous or emotional.  I enjoyed it even though it wasn't what I expected.	4.0 out of 5 stars
Not what I expected or hoped.	3.0 out of 5 stars
Such a good book!	5.0 out of 5 stars
GREAT READ	5.0 out of 5 stars
When I saw mm in the Lincoln add, I thought why turn up the heat and then take your gloves off? Experience, live, feel the cold, the heat..if you read just one book this year,  read this one. Because you are the architect of your livin.	5.0 out of 5 stars
Very easy read and true to the Heart. I was Amazed at all that he had done. Interesting take on the Behind-The-Scenes of Hollywood as well. Good Read.	5.0 out of 5 stars
Straight up wisdom from someone I admire and respect.  There are some downright hilarious moments shared here that I will never forget.  A great read.	5.0 out of 5 stars
Was so excited to find the perfect gift for my friend only to discover she had already bought it! Was going to return it but someone else  wanted it .	5.0 out of 5 stars
Amazing book. I bought the audio book to listen to Matthew narrate it and have the book to reference all of his amazing learnings and “notes to self” If you need a good book to help give you more greenlights in life, this is top notch!	5.0 out of 5 stars
Matthew's authenticity in telling his story of seeking his deeper, truer self was impressive. I laughed a lot, cried a little, and paused often to contemplate my own life. Book was delivered yesterday and I finished today. Such a great read!	5.0 out of 5 stars
Very inspiring. Great stories.	5.0 out of 5 stars
Very good book. Couldn’t put it down. He’s very good with phrasing and explaining how certain things are and why he did the things he did.	5.0 out of 5 stars
What can I say I had to read this book but I had to give to my daughter for Christmas!! She kept asking me about it so I wrapped it up	5.0 out of 5 stars
A great read from a great guy.	5.0 out of 5 stars
This book is an awesome ride. It's a fast, fun & raw autobiography written by an artist, and it's filled with many heart-warming & rending stories that are all-laughs on one page and all-tears on the next.	5.0 out of 5 stars
Interesting for sure, but so grounded that it's vulgar at times and uncomfortable.  Matthew is intense to be sure as hell and brimstone have nothing on him.  I find his novel to be a yellow light as one should be introspective to read it or it could be a bit much.	4.0 out of 5 stars
A little self-indulgent, I don't think he had a ghostwriter. Was an ok read but didn't blow my socks off the cover was nice	3.0 out of 5 stars
Captivating, funny, and down to earth truthful. Matthew has unashamedly tell it all. Love Greenlights.	5.0 out of 5 stars
What a great book with great stories. Definitely what I needed this year “2020”. The adventures shared are inspiring. Needs to be read with an open mind don’t judge just enjoy it.	5.0 out of 5 stars
Well written, introspective with a lot of humor. He is so grounded & helps the reader relate in so many ways that are unexpected from someone of such celebrity. I enjoyed every word of it. Sent it to my son!!	5.0 out of 5 stars
Totally enjoyable read. Great stories and lots of good life lessons throughout. Some laugh out loud moments mixed with deep thought.	5.0 out of 5 stars
What a great story! I loved reading this book! Suggested to several friends and family members already. I plan to purchase the audio version for my father as well.	5.0 out of 5 stars
Matthew does a great job of living.  As a mental health provider I so appreciate how he looks at life’s events and circumstances as opportunities.  Inspirational.	5.0 out of 5 stars
This book is nothing but class! Great read about an interesting man. I loved reading about hit. What a nice guy!	5.0 out of 5 stars
Just received this book in sad condition. The sleeve which is shorter than the book is mangled. Not as happy to gift it to someone looking like this.	2.0 out of 5 stars
Was sent in box to keep from any damage.  This is a Christmas Gift. good price.  Mathew is such a great guy.  I love all his movies and enjoying his talks  on TV	5.0 out of 5 stars
Love the stories and wisdom.  Usually I'd prefer to read but his narration was exceptional.  Read it after a recent tragedy and lots of life changing fallout.... Greelight!	5.0 out of 5 stars
Thanks to MM, I think you changed my life.  I recommend  purchasing both the Audible and Kindle versions. You won't regret it	5.0 out of 5 stars
Finish reading the book within the first few days of delivery	5.0 out of 5 stars
Great read! I enjoyed it! Mathew wrote one of the better ones I’ve read this year! Hope he does more!	5.0 out of 5 stars
From cover to cover, I laughed out loud, I engaged, I imagined, I followed the adventure. Honest, heartfelt, and inspiring. A Greenlight.	5.0 out of 5 stars
He recaps a wild and wooly lifesryle.  Good read.....an in depth examination of his life choices.	5.0 out of 5 stars
I love the book.  I am sad that the finish on the book is not up to par but the read is great.	5.0 out of 5 stars
Enlightening story of an actor who you think you may know about but really don't.  I read Greenlights in one and half days cuz I wanted to know more not only about him but about myself.  Strong character, resolute about being meaningful to many, even us.	5.0 out of 5 stars
IT IS A PRETTY GOOD BOOK ALTHOUGH I HAVEN'T FINISHED IT YET. SOME SURPRISES AND SOME LAUGHS.	5.0 out of 5 stars
Worth reading for sure. Easy and meaningful. Really loved the way he talks about meeting his future wife. And all the other times he mentions Camila. Such true love. Wish him many more productive happy years.	5.0 out of 5 stars
I bought this book for my husband. He likes to read short stories, although this book isn’t a short story read, it is set up with lots of pictures and the pages are broken up where it keeps your eyes busy!	5.0 out of 5 stars
I am loving this book and I can't put it down.  GenXer's will relate to many passages and details.  Matthew invokes the American spirit with his experience, thoughts, notes, weirdness, western travels and aspirations.  No narcissism here, just a man presenting his thoughts about life.  I bought 10 copies for for bro's as Christmas Gifts! do the same	5.0 out of 5 stars
This book is not just about s celebrity fantasizing about his life...	5.0 out of 5 stars
This book can open your eyes to what can be done in life when we stop worrying about what others may think of us and realize that we have been given a wonderful gift; time on earth, use it well.	5.0 out of 5 stars
Mildly entertaining at best. No real storyline and a lot of fluff and cheese.	2.0 out of 5 stars
Damn, he’s lived. He can also write. I did not expect to be as moved by this as I am. I hope he writes more!	5.0 out of 5 stars
You will start to read and and not want to put your stfffcsuvib giutvbunnr	5.0 out of 5 stars
I loved this book! It was a real page turner and I couldn’t put it down. I be always loved Matthews acting and movies so learning more about what motivated him was inspiring. His story about his life was very interesting. I think I like him even more as a real person now!	5.0 out of 5 stars
This is an amazing book ! Check out the audible version, great narration!!	5.0 out of 5 stars
This is more than an autobiography, its an inside job on going back and understanding a journey to project for the future. It was exploring and understanding author’s choices, forgiving and congratulating himself in the process.	4.0 out of 5 stars
I have a different opinion of Matthew after reading this book. I find him to be humble, a hard worker and thankful for what he had earned.	5.0 out of 5 stars
An amazing read! So insightful about how to live your best life - but laughing the whole time! I have always loved all of McConaughey’s work, but getting to see how he was raised and brought up was so interesting and fun to read. Always great to read about another fellow Texans, loved all the similarities in his life I could relate to living in this great state!	5.0 out of 5 stars
The first half was good next half not so m.	3.0 out of 5 stars
I started this book LATE on a Saturday night and couldn’t put it down.  I loved the different stories.  Totally laughed out loud and even had to wipe tears a few times.  Loved it!!!!	5.0 out of 5 stars
Just got this book and I’m already loving it. Especially during this pandemic. It makes me look at everything in a better light.	5.0 out of 5 stars
I'm a Matthew fan.  I throughly enjoyed his book. It was funny, interesting, and philosophical. I was hard to put down. It was alright, alright, alright.	5.0 out of 5 stars
Love Matthew and this book made so much sense. The analogy to green lights is a delightful insight to life in general. This book is full of ah-ha moments and a must read. Also love the audible well, because he reads it. His voice is incredible and his personality shines through. Thank you for writing this!	5.0 out of 5 stars
Love Mathew and his book was well written and very interesting .	5.0 out of 5 stars
I bought this book for a couple of friends for Christmas and very carefully read one of them. It is a very interesting read, not a typical autobiography. Matthew is a creative character and has been his whole life. The book is printed in an unusual way that is very engaging. I know my friends will like it.	5.0 out of 5 stars
What a great read! Very enjoyable and thought provoking.	5.0 out of 5 stars
Was looking forward to this book and it did not disappoint!  I bought it first in audible and enjoyed it so much I bought the hard back too. Some people complain about the dust jacket but I like it!!!	5.0 out of 5 stars
Very entertaining. His humor and honesty shows through.	5.0 out of 5 stars
This is a great addition to my memoir collection! Loved it!	5.0 out of 5 stars
One of the best books I’ve read this year! Inspirational, thought provoking and fun from beginning to end. I definitely recommend this book!	5.0 out of 5 stars
Fabulous book. A sorely needed read In 2020. Thank you for the humor, the self help counsel, and the crazy stories. This book is a green light in my life. Alright. Alright. Alright.	5.0 out of 5 stars
Wow. Wow. Wow.	5.0 out of 5 stars
If you are looking for a fancy, well-written memoir about a famous Hollywood personality, keep looking.	5.0 out of 5 stars
Disappointed to receive a book with a damaged cover.  Looks like a grease smear and will not wipe off.  This is the second book (different title) that I received damaged or in less the perfect condition this month...	3.0 out of 5 stars
Really loved this book... flew through it in 2 days. Good read, he’s a good dude, and if love to see more from him	5.0 out of 5 stars
Interesting that he is such a good family man	5.0 out of 5 stars
This is a book. That you read. Then you're done.	5.0 out of 5 stars
I strongly suggest getting the audio version as well! Matthew does a fantastic job! Hope he writes more books. This is definitely a read again kind of book.	5.0 out of 5 stars
I’ve read many “self-help” books (although I know this is not) and have been in a rut for quite sometimes - coming up on a year. After reading this book I swear my days have gotten better. Matthew’s way of going about life, it’s lessons, and his comedic nature really makes you read the whole thing in one sitting. So fantastic.	5.0 out of 5 stars
Matthew at his greatest! He’s such an inspirational motivator. Must read for anyone with struggles in life!!!	5.0 out of 5 stars
Worth the read. Made me think.	5.0 out of 5 stars
A great book! Very inspirational and worth reading.	5.0 out of 5 stars
I’ve always liked this guy, even more so now.  His honesty is refreshing, his views on life entertaining.  The book is well written, thoughtful and thoroughly fun reading.  May Matthew experience many more sunsets in life.	5.0 out of 5 stars
You’ll have to read it to find out!	5.0 out of 5 stars
Must have for Matthew fans.	5.0 out of 5 stars
The rating selected itself.  I am intrigued by the author and will read the book out of curiosity. And because I like Mathew in his movies.	4.0 out of 5 stars
Amazing book! Must read.	5.0 out of 5 stars
Wonderful stories amid poignant life lessons.  Well written in the sense of who I was, who I am, and who I strive to be	5.0 out of 5 stars
Matthews book is fantastic. Cant put it down!!	5.0 out of 5 stars
Awesome read!  A real page turner	5.0 out of 5 stars
This book is divine. It's a reality check in the best way. It's an accountability entity. It's introspection for the sake of moving one to introspection. If Mr. Mcconaughey's array of acting performances were displayed, forming one script, this is what the product would be. A joy to read. An absolute Joy.	5.0 out of 5 stars
Kindle paper white reader e book.	3.0 out of 5 stars
Very well written and maybe I am biased because I adore his work, but the book is great and is funny, candid and beautiful. Alright, alright, alright (I had to) :)	5.0 out of 5 stars
Worth every penny	5.0 out of 5 stars
This book reminded me of Mark Manson’s recent works.  It is an unapologetic analysis of a hero’s journey and a quest for mastery in a craft.  The book feels like a “fireside” chat with a conversational flow.  There are a lot of profound take-aways, and you will not be disappointed.	5.0 out of 5 stars
Beautiful read!	5.0 out of 5 stars
This is a must read. I am a no nonsense non-fiction, looking forward any good historical, analytical book-type of active reader. I took a chance on this- usually wouldn’t ever since these are some of the worst books ever produced- because he’s fun. And I was rewarded and I suggest you do the same.	5.0 out of 5 stars
I love Matthew McConaughey as an actor and as an advocate for teens his love for animals his passion for all life. I just ordered his book today! I can’t wait to start reading it when it arrives!!!!!	5.0 out of 5 stars
Reading now	5.0 out of 5 stars
Enjoyed this book, not as a memoir but as a kind of self help through the eyes and experiences of another.	5.0 out of 5 stars
For Reading	5.0 out of 5 stars
Great book!	5.0 out of 5 stars
Multi faceted actor has a gift for storytelling that I haven't experienced with other actors of his caliber.	5.0 out of 5 stars
Enjoyed.	5.0 out of 5 stars
